"Type","Title","Country","Year","Rating","Genre","Synopsis"
"Movie","Jaws: The Revenge","United States","1987","PG-13","Action & Adventure","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
"Movie","The Twilight Saga: Eclipse","United States","2010","PG-13","Romance","With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
"Movie","The Twilight Saga: New Moon","United States","2009","PG-13","Romance","Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black."
"Movie","Twilight","United States","2008","PG-13","Action & Adventure","When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
"Movie","A Perfect Fit","Indonesia","2021","TV-PG","Comedy","Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé."
"Movie","Surf's Up","United States","2007","PG","Children & Family Movies","This Oscar-nominated animated comedy goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing."
"Movie","A Classic Horror Story","Italy","2021","TV-MA","Horror","In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."
"Movie","Safe House","South Africa","2012","R","Action & Adventure","Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location."
"Movie","American Woman","United States","2019","TV-MA","Drama","In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears."
"Movie","American Ultra","United States","2015","R","Action & Adventure","He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back."
"Movie","Ratchet and Clank","Hong Kong","2016","PG","Children & Family Movies","Affable alien Ratchet longs to be a Galactic Ranger and might get the chance when rogue robot Clank tells him of evil Drek's plot to destroy a galaxy."
"Movie","Training Day","United States","2001","R","Drama","A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice."
"Movie","Back to Q82","Kuwait","2017","TV-14","Comedy","Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows."
"Movie","Home Again","United States","2017","PG-13","Comedy","A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life."
"Movie","Midnight Sun","United States","2018","PG-13","Romance","Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms."
"Movie","Rock the Kasbah","United States","2015","R","Comedy","When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents."
"Movie","Brick Mansions","France","2014","PG-13","Action & Adventure","An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project."
"Movie","Tango With Me","Nigeria","2010","TV-14","International Movies","A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night."
"TV Show","The Mire","Poland","2021","TV-MA","Crime TV Shows","In an early-'80s Polish town, a prostitute and a youth leader are found killed, but the police's handling of the case makes two journalists suspicious."
"Movie","This Little Love Of Mine","Australia","2021","TV-G","International Movies","A workaholic lawyer returns to her island home to convince an old friend to take over his family’s company — but rekindled feelings soon get in the way."
"Movie","A Land Imagined","France","2019","TV-MA","International Movies","A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game."
"Movie","Har Kisse Ke Hisse: Kaamyaab","India","2020","TV-14","International Movies","After a career of thankless credits, a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking."
"Movie","InuYasha the Movie 2: The Castle Beyond the Looking Glass","Japan","2002","TV-14","Action & Adventure","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
"Movie","Rehmataan","India","2012","TV-14","International Movies","As unemployment, drug addiction and corruption plague a society, this drama depicts the people who believe there’s still good in the world."
"Movie","InuYasha the Movie 3: Swords of an Honorable Ruler","Japan","2003","TV-14","Action & Adventure","The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened."
"Movie","Return of the Prodigal Son","Egypt","1976","TV-MA","International Movies","Freed after spending 12 years in jail, a man's homecoming turns into a dark affair as his disillusion clashes with his family's expectations."
"Movie","Rise: Ini Kalilah","Malaysia","2018","TV-PG","International Movies","Inspired by Malaysia's 14th General Election, this film trails six individuals and the obstacles they face in the days leading up to the historic event."
"Movie","Si Doel the Movie 2","Indonesia","2019","TV-G","International Movies","As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go."
"Movie","InuYasha the Movie 4: Fire on the Mystic Island","Japan","2004","TV-PG","Action & Adventure","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
"Movie","Truckbhar Swapna","India","2018","TV-14","Comedy","A taxi driver living in a Mumbai slum seeks to better his family's life by building an extension of his home while dealing with a lecherous contractor."
"Movie","Ujala","India","1959","TV-14","International Movies","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach."
"Movie","InuYasha the Movie: Affections Touching Across Time","Japan","2001","TV-PG","Action & Adventure","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
"Movie","Haseen Dillruba","India","2021","TV-MA","International Movies","Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth."
"Movie","RattleSnake - The Ahanna Story","Nigeria","2020","TV-MA","Thriller","In this stylish remake, a disillusioned mastermind assembles a team to pull off a series of spectacular heists — but his crimes make too many enemies."
"Movie","Snowpiercer","South Korea","2013","R","Action & Adventure","The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars."
"Movie","The 8th Night","South Korea","2021","TV-14","Horror","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth."
"Movie","Winchester","Australia","2018","PG-13","Horror","The heiress to a vast firearms fortune constructs a mansion with a maze-like interior to ward off the spirits of those killed by her family's product."
"Movie","6 Bullets","United States","2012","R","Action & Adventure","A former mercenary is lured back into the dangerous business of finding missing children when the daughter of a mixed martial arts champ is kidnapped."
"Movie","Air Force One","United States ","1997","R","Action & Adventure","When terrorists hijack Air Force One with the president and his family on board, the commander-in-chief takes matters into his own well-trained hands."
"Movie","Austin Powers in Goldmember","United States","2002","PG-13","Action & Adventure","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember."
"Movie","Austin Powers: International Man of Mystery","United States","1997","PG-13","Comedy","A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil."
"Movie","Austin Powers: The Spy Who Shagged Me","United States","1999","PG-13","Action & Adventure","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ""mojo,"" Austin must return to the swingin' '60s himself."
"Movie","Boogie Nights","United States","1997","R","Comedy","A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler."
"Movie","Charlie's Angels","United States","2000","PG-13","Action & Adventure","A tight-knit trio of specially trained agents wield weapons — and charm — as they track down stolen software in this reboot of the classic TV series."
"Movie","Congo","United States","1995","PG-13","Action & Adventure","Eight people, some with ulterior motives, go on an expedition to the Congo, where they find a lost city protected by killer apes."
"Movie","Dennis the Menace","United States","1993","PG","Children & Family Movies","The bane of George's life is a little boy named Dennis. But when a cunning thief attempts to rob George, Dennis may be the only one who can stop him."
"Movie","Naruto Shippuden the Movie: Blood Prison","Japan","2011","TV-14","Action & Adventure","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
"Movie","Dreamy Eyes","Vietnam","2019","TV-14","International Movies","Through heartbreak and betrayal, Ngan's unrequited love for his childhood best friend Hà La endures for a generation in this sweeping romance."
"Movie","Hampstead","United Kingdom","2019","PG-13","Comedy","An American widow in London forms an unexpected relationship with a man living off the grid in a beautiful park ripe for development."
"Movie","Kung Fu Panda","United States","2008","PG","Children & Family Movies","When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior."
"Movie","Kung Fu Panda 2","United States","2011","PG","Children & Family Movies","With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu."
"Movie","Life as We Know It","United States","2010","PG-13","Comedy","Holly and Eric discover reciprocal hatred during their first date, but must put their feelings aside after becoming guardians of their friends' baby."
"Movie","Mary Magdalene","United Kingdom","2019","R","Drama","A woman with healing powers abandons her village life to become a devout disciple of Jesus, the founder of Christianity."
"Movie","Memoirs of a Geisha","France","2005","PG-13","Romance","Sold to a geisha house as a child, a fisherman’s daughter becomes the most sought-after geisha in Kyoto, but rivalries threaten the destiny she desires."
"Movie","Naruto Shippûden the Movie: Bonds","Japan","2008","TV-PG","Action & Adventure","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
"Movie","Midnight Run","United States","1988","R","Action & Adventure","A cop-turned-bounty hunter runs into trouble as he races from New York to Los Angeles with a fugitive accountant who embezzled millions from the mob."
"Movie","Mortal Kombat","United States","1995","PG-13","Action & Adventure","Three fighters travel to the mystical realm of Outworld to test their might in a tournament against an evil demon with plans to take over the world."
"Movie","Mother's Day","United States","2016","PG-13","Comedy","The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy."
"Movie","No Strings Attached","United States","2011","R","Comedy","""Friends with benefits"" Emma and Adam are fine with their open relationship ... until those pesky little things called feelings enter the picture."
"Movie","Not Another Teen Movie","United States","2001","R","Comedy","On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled artist into a prom queen in this outrageous parody."
"Movie","Ophelia","United Kingdom","2018","PG-13","Romance","In this retelling of “Hamlet” from Ophelia’s point of view, the lady-in-waiting’s shared love with Denmark’s prince is ruined by treachery and madness."
"Movie","Naruto Shippûden the Movie: The Will of Fire","Japan","2009","TV-PG","Action & Adventure","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
"Movie","Red Joan","United Kingdom","2019","R","International Movies","When an unassuming elderly widow is arrested for treason, her tangled secret past as the KGB's longest-serving British spy is exposed."
"Movie","Seven Pounds","United States","2008","PG-13","Romance","Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance."
"Movie","She's Out of My League","United States","2010","R","Comedy","Kirk's a 5. His new girlfriend Molly's a 10. No one knows what she sees in him, including Kirk. Will his raging insecurities ruin this budding romance?"
"Movie","Snow Day","United States","2000","PG","Children & Family Movies","When a snow day shuts down the whole town, the Wheeler family cuts loose. Hal makes a play for the most popular girl in his school, 10-year-old Natalie takes on the dreaded snowplow man, and Dad gets into a showdown with a rival meteorologist."
"Movie","Star Trek","United States","2009","PG-13","Action & Adventure","On their first voyage aboard the starship Enterprise, cocky rebel James T. Kirk and logic-driven Vulcan Spock try to defeat a vengeful Romulan commander."
"Movie","Stuart Little","Germany","1999","PG","Children & Family Movies","When his parents adopt a mouse instead of a little boy, George realizes brothers come in all shapes and sizes. But Snowbell the cat is not so welcoming."
"Movie","Sword of Trust","United States","2019","R","Comedy","An offbeat foursome takes a wild journey through the Southern belt of denial to sell a relic purporting to prove the South won the Civil War."
"Movie","Talladega Nights: The Ballad of Ricky Bobby","United States","2006","PG-13","Action & Adventure","NASCAR superstar Ricky Bobby believes he's the best there is, until the arrival of a French Formula One champion threatens his position as top dog."
"Movie","The American","United States","2010","R","Thriller","Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him."
"Movie","Naruto Shippuden: The Movie","Japan","2007","TV-PG","Action & Adventure","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
"Movie","The Best of Enemies","United States","2019","PG-13","Drama","In 1971, a summit on school integration in North Carolina pits a civil rights activist against a Ku Klux Klan leader, sparking an unlikely friendship."
"Movie","The Game","United States","1997","R","Thriller","An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game."
"Movie","The Karate Kid","United States","1984","PG","Action & Adventure","When a bullied teen befriends an unassuming martial arts master, he’ll learn life lessons — and the right moves — to beat back his merciless rivals."
"Movie","The Karate Kid Part II","United States","1986","PG","Action & Adventure","Daniel and his martial-arts mentor, Mr. Miyagi, visit Okinawa where they battle a hostile new nemesis and a former foe looking to settle an old score."
"Movie","The Karate Kid Part III","United States","1989","PG","Children & Family Movies","A returning adversary threatens the bond between karate champ Daniel and mentor Mr. Miyagi with an intricate plan for revenge and a brutal challenger."
"Movie","The Life of David Gale","United Kingdom","2003","R","Drama","When a Texas professor and advocate for the elimination of the death penalty is falsely accused of a crime, he ends up on death row himself."
"Movie","The Long Riders","United States","1980","R","Action & Adventure","This Western chronicles the misadventures and demise of the James-Younger gang, 19th-century outlaws who tore through Missouri on a crime spree."
"Movie","The Queen","United Kingdom","2006","PG-13","International Movies","After Princess Diana's death, Queen Elizabeth II and Tony Blair face public demands that she be memorialized in a manner beyond standard protocol."
"Movie","The Strangers","United States","2008","R","Horror","A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders."
"Movie","The Sum of All Fears","United States","2002","PG-13","Action & Adventure","CIA agent Jack Ryan tries to discover why three missing Russian nuclear scientists are holed up in the Ukraine, communicating with neo-Nazis."
"Movie","Naruto Shippuden: The Movie: The Lost Tower","Japan","2010","TV-14","Action & Adventure","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
"Movie","The Tourist","United States","2010","PG-13","Action & Adventure","An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent."
"Movie","Underworld","United States","2003","R","Action & Adventure","A vampire warrior begins to question her mission in the ancient war between the undead and werewolves when she falls for a human under her protection."
"Movie","Underworld: Awakening","United States","2012","R","Action & Adventure","As the war between vampires and Lycans rages on, Selene awakens from a prolonged, forced cryogenic sleep to face a harrowing new enemy: humans."
"Movie","Underworld: Rise of the Lycans","United States","2009","R","Action & Adventure","Set in the year 1402, this prequel follows Lucian, the first werewolf to take human form, and chronicles the feud between the vampires and the Lycans."
"Movie","Voiceless","Nigeria","2020","TV-MA","Thriller","A bright and promising young girl gets abducted and taken to a terrorist camp, where she unexpectedly crosses paths with her soulmate."
"Movie","What Dreams May Come","United States","1998","PG-13","Romance","A physician finds himself in heaven after an accident, inhabiting the landscape of his wife's paintings while seeking to rescue her from the underworld."
"Movie","Why Do Fools Fall in Love","United States","1998","R","Romance","In this rock 'n' roll comedy-drama, three women go to court over royalties from the one-hit-wonder singer they all loved — and whom they all married."
"Movie","America: The Motion Picture","United States","2021","TV-MA","Action & Adventure","A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution."
"Movie","Naruto the Movie 2: Legend of the Stone of Gelel","Japan","2005","TV-PG","Action & Adventure","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
"Movie","Lying and Stealing","United States","2019","R","Thriller","A talented thief teams up with an aspiring actress to steal art from LA's high rollers. For their last heist, they're going for the ultimate: freedom."
"Movie","Naruto the Movie 3: Guardians of the Crescent Moon Kingdom","Japan","2006","TV-PG","Action & Adventure","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
"Movie","Killing Them Softly","United States","2012","R","Drama","When a couple of low-level crooks rob a Mob-protected poker game, a slick enforcer is hired to track down the offenders and take care of business."
"Movie","Wonder Boy","France","2019","TV-14","Documentaries","This revealing documentary follows Balmain creative director Olivier Rousteing as he brings his bold designs to life and goes in search of his origins."
"Movie","Here Comes the Rain","Lebanon","2010","TV-MA","International Movies","Abducted during the Lebanese Civil War and now in his 50s, Ramez is finally a free man. But he returns to society deeply traumatized by the past."
"Movie","The Ice Road","United States","2021","PG-13","Action & Adventure","To save a team of miners trapped underground, a down-on-his-luck ice road trucker joins a mission across treacherous terrain to deliver rescue equipment."
"Movie","Naruto the Movie: Ninja Clash in the Land of Snow","Japan","2004","TV-PG","Action & Adventure","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
"Movie","The Seventh Day","United States","2021","R","Horror","An inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy. But darkness lies where they least expect it."
"Movie","O Vendedor de Sonhos","Brazil","2016","TV-14","International Movies","A disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living."
"Movie","Osuofia in London","Nigeria","2003","TV-MA","Comedy","A villager in Nigeria becomes the sole beneficiary of his late brother's estate in England, which, according to custom, includes his brother's fiancée."
"Movie","#Selfie","Romania","2014","TV-MA","Comedy","Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives."
"Movie","#Selfie 69","Romania","2016","TV-MA","Comedy","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days."
"Movie","Love Is a Story","Romania","2015","TV-MA","International Movies","Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime."
"TV Show","Riverdale","United States","2019","TV-14","Crime TV Shows","While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."
"TV Show","They've Gotta Have Us","United Kingdom","2018","TV-MA","British TV Shows","Powered by candid recollections from esteemed African-American entertainers, this docuseries traces the history of black cinema."
"Movie","Fatherhood","United States","2021","PG-13","Drama","A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story."
"Movie","Kambili: The Whole 30 Yards","Nigeria","2020","TV-14","Comedy","Determined to marry before she turns 30, a woman tries to change her impulsive ways and do whatever it takes to win back the boyfriend who left her."
"Movie","Aziza","Lebanon","2019","TV-PG","Comedy","This short film follows a newly displaced Syrian couple's drive around Beirut, which then morphs into a hallucinatory and nostalgic trip."
"Movie","Fan Girl","Philippines","2020","TV-MA","Drama","An infatuated fan finds an unexpected way to meet her celebrity crush and discovers a dark reality behind the facade of fame and her fantasy world."
"Movie","Red Snow","Canada","2019","TV-MA","Drama","Ambushed by the Taliban, a First Nations soldier from Canada gets captured but escapes in a harrowing journey that stirs up memories of love and loss."
"Movie","Silver Linings Playbook","United States","2012","R","Comedy","A man with bipolar disorder moves home with his parents and makes a connection with a spirited widow, which helps both of them heal in unique ways."
"Movie","Biking Borders","Germany","2019","TV-14","Documentaries","Best friends Max and Nono bike from Berlin to Beijing, collecting donations to build a school for a unique fundraising adventure in this documentary."
"Movie","Lowriders","United States","2016","PG-13","Drama","Caught up in the lowrider world of his father and embittered brother, an East LA graffiti artist grapples with a family feud while chasing his dreams."
"Movie","Security","Italy","2021","TV-MA","Thriller","After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies."
"Movie","FTA","United States","1972","TV-MA","Documentaries","The restored documentary captures the Pacific leg of the 1971 anti-Vietnam War ""Free the Army"" comedy tour and experiences on both sides of the stage."
"Movie","King of Boys","Nigeria","2018","TV-MA","Drama","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
"Movie","Sankofa","United States","1993","TV-MA","Drama","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
"Movie","Kate","United States","2021","R","Action & Adventure","Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
"Movie","Omo Ghetto: the Saga","Nigeria","2020","TV-MA","Action & Adventure","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
"TV Show","The Great British Baking Show","United Kingdom","2021","TV-14","Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
"Movie","Paradise Hills","Spain","2019","TV-MA","Sci-Fi ","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
"Movie","Show Dogs","United Kingdom","2018","PG","Children & Family Movies","A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale."
"Movie","If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd","United States","2018","TV-MA","Documentaries","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
